Location,Name,count
Madison St Opp Jefferson St,Little Flower Playground,93
"W 150 St, W/s 7 Ave",Bill 'bojangle' Robinson Playground,31
W 148 ST & HUDSON RIVER,Ten Mile River Playground,32
"Harlem River, W 151 To W 154 Sts",Harlem Lane Playground,25
E 11 ST & EAST RIVER DR,East River Park,5
"Lexington Ave, E 105 To E 106 Sts",White Playground,163
W 45 St Bet 9 & 10 Aves,May Matthews Playground,487
"5 Ave, W 130 To W 131 Sts",Courtney Callender Playground,25
"1 Ave, E 41 To E 42 Sts",Robert Moses Playground,248
"7 Ave, W 150 To W 151 Sts",Frederick Johnson Park,32
"Lenox Ave, W 139 To W 140 Sts",Samuel Playground,48
"W 43 St, 8 & 9 Aves",Mccaffrey Playground,783
"E 23 To E 25 Sts, Fdr Drive",Asser Levy Playground,6
"Rivington, Mangin Sts & Baruch Pl",Baruch Playground,8
"Clinton, Cherry & Water Sts",Cherry Clinton Playground,51
E 108 To E 109 Sts Bet Park & Madison Aves,Peter Minuit Park,158
"W 64 St, W/s Amsterdam Ave",Samuel N. Bennerson 2nd Playground,17
"W 145 To W 143 Sts, Lenox Ave, Harlem River Drive",Col Charles Young Playground,18
"2 Ave, E 96 To E 97 Sts",Marx Brothers Playground,127
"W 126 To W 129 Sts, Amsterdam Ave To Old Broadway",Sheltering Arms Park,34
"Fdr Drive, E 95 To E 97 St",Stanley Isaacs Court,4
S/e Corner 5 Ave & E 135 St,Lincoln Playground,20
"Catherine Slip, Madison & South Sts",Alfred E Smith Park,130
"Lewis, Delancey Sts",Sidney Hillman Playground,11
"Madison St, Catherine To Oliver Sts",Alfred E. Smith Playground,187
"Lenox Ave, W 113 To W 114 Sts",Martin Luther King Playground,48
W 204 St Bet 10 & Nagle Aves,Monsignor Kett Playground,26
"W 108 St, Columbus & Amsterdam Aves",Anibal Aviles Playground,129
"N/s W 108 St, Columbus & Amsterdam Aves",Booker T Washington Playground,72
E Houston St W/o Fdr Drive,Wald Playground,21
"N/s E 42 St, 1 To 2 Aves",Mary O'Connor Playground,256
"S/s E 42 St, 1 To 2 Aves",Tudor Grove Playground,254
"Madison Ave, E 130 & E 131 Sts",Moore Playground,21
"Morningside Ave, W 123 & W 124 Sts",Morningside Playground,31
"Cherry To Water Sts, W Catherine To Market Slips",Tanahey Playground,85
"Lexington Ave, E 128 & E 129 Sts",Harlem River Park,11
